,state,agency
0,alabama,AL00100
1,alabama,AL00102
2,alabama,AL00103
3,alabama,AL00105
4,alabama,AL00107
5,alabama,AL00108
6,alabama,AL00109
7,alabama,AL00110
8,alabama,AL00111
9,alabama,AL00112
10,alabama,AL00116
11,alabama,AL00118
12,alabama,AL00122
13,alabama,AL00126
14,alabama,AL00200
15,alabama,AL00202
16,alabama,AL00203
17,alabama,AL00206
18,alabama,AL00212
19,alabama,AL00214
20,alabama,AL00215
21,alabama,AL00300
22,alabama,AL00301
23,alabama,AL00306
24,alabama,AL00319
25,alabama,AL00400
26,alabama,AL00401
27,alabama,AL00502
28,alabama,AL00503
29,alabama,AL00504
30,alabama,AL00506
31,alabama,AL00507
32,alabama,AL00508
33,alabama,AL00509
34,alabama,AL00510
35,alabama,AL00512
36,alabama,AL00513
37,alabama,AL00602
38,alabama,AL00800
39,alabama,AL00801
40,alabama,AL00802
41,alabama,AL00803
42,alabama,AL01000
43,alabama,AL01003
44,alabama,AL01100
45,alabama,AL01101
46,alabama,AL01103
47,alabama,AL01104
48,alabama,AL01108
49,alabama,AL01200
50,alabama,AL01201
51,alabama,AL01202
52,alabama,AL01301
53,alabama,AL01401
54,alabama,AL01500
55,alabama,AL01601
56,alabama,AL01602
57,alabama,AL01700
58,alabama,AL01800
59,alabama,AL01801
60,alabama,AL01900
61,alabama,AL01902
62,alabama,AL01904
63,alabama,AL02000
64,alabama,AL02001
65,alabama,AL02002
66,alabama,AL02003
67,alabama,AL02006
68,alabama,AL02101
69,alabama,AL02200
70,alabama,AL02201
71,alabama,AL02400
72,alabama,AL02401
73,alabama,AL02402
74,alabama,AL02500
75,alabama,AL02501
76,alabama,AL02600
77,alabama,AL02601
78,alabama,AL02602
79,alabama,AL02603
80,alabama,AL02604
81,alabama,AL02606
82,alabama,AL02701
83,alabama,AL02801
84,alabama,AL02900
85,alabama,AL02902
86,alabama,AL02903
87,alabama,AL02904
88,alabama,AL02906
89,alabama,AL03001
90,alabama,AL03002
91,alabama,AL03004
92,alabama,AL03100
93,alabama,AL03101
94,alabama,AL03105
95,alabama,AL03106
96,alabama,AL03107
97,alabama,AL03200
98,alabama,AL03201
99,alabama,AL03202
100,alabama,AL03301
101,alabama,AL03303
102,alabama,AL03400
103,alabama,AL03401
104,alabama,AL03402
105,alabama,AL03403
106,alabama,AL03501
107,alabama,AL03602
108,alabama,AL03700
109,alabama,AL03701
110,alabama,AL03702
111,alabama,AL03800
112,alabama,AL03801
113,alabama,AL03802
114,alabama,AL03805
115,alabama,AL03900
116,alabama,AL03901
117,alabama,AL04001
118,alabama,AL04100
119,alabama,AL04101
120,alabama,AL04106
121,alabama,AL04107
122,alabama,AL04108
123,alabama,AL04200
124,alabama,AL04201
125,alabama,AL04202
126,alabama,AL04203
127,alabama,AL04300
128,alabama,AL04301
129,alabama,AL04302
130,alabama,AL04303
131,alabama,AL04400
132,alabama,AL04401
133,alabama,AL04402
134,alabama,AL04500
135,alabama,AL04600
136,alabama,AL04601
137,alabama,AL04606
138,alabama,AL04700
139,alabama,AL04701
140,alabama,AL04702
141,alabama,AL04703
142,alabama,AL04704
143,alabama,AL04801
144,alabama,AL04900
145,alabama,AL04901
146,alabama,AL05002
147,alabama,AL05004
148,alabama,AL05005
149,alabama,AL05100
150,alabama,AL05101
151,alabama,AL05204
152,alabama,AL05206
153,alabama,AL05209
154,alabama,AL05300
155,alabama,AL05400
156,alabama,AL05401
157,alabama,AL05405
158,alabama,AL05500
159,alabama,AL05501
160,alabama,AL05503
161,alabama,AL05600
162,alabama,AL05601
163,alabama,AL05603
164,alabama,AL05700
165,alabama,AL05701
166,alabama,AL05800
167,alabama,AL05806
168,alabama,AL05900
169,alabama,AL05902
170,alabama,AL05906
171,alabama,AL05908
172,alabama,AL06002
173,alabama,AL06101
174,alabama,AL06103
175,alabama,AL06200
176,alabama,AL06201
177,alabama,AL06202
178,alabama,AL06203
179,alabama,AL06300
180,alabama,AL06301
181,alabama,AL06302
182,alabama,AL06303
183,alabama,AL06400
184,alabama,AL06402
185,alabama,AL06403
186,alabama,AL06405
187,alabama,AL06501
188,alabama,AL06502
189,alabama,AL06503
190,alabama,AL06600
191,alabama,AL06602
192,alabama,AL06700
193,alabama,AL06702
194,alabama,AL00129
195,alabama,AL00208
196,alabama,AL00304
197,alabama,AL00305
198,alabama,AL00604
199,alabama,AL00701
200,alabama,AL00900
201,alabama,AL01402
202,alabama,AL01403
203,alabama,AL01404
204,alabama,AL02004
205,alabama,AL02303
206,alabama,AL02802
207,alabama,AL03302
208,alabama,AL03600
209,alabama,AL03904
210,alabama,AL04602
211,alabama,AL05804
212,alabama,AL05904
213,alabama,AL05911
214,alabama,AL06003
215,alabama,AL06005
216,alabama,AL06205
217,alabama,AL06307
218,alabama,AL00101
219,alabama,AL00104
220,alabama,AL00106
221,alabama,AL00113
222,alabama,AL00114
223,alabama,AL00115
224,alabama,AL00117
225,alabama,AL00119
226,alabama,AL00120
227,alabama,AL00121
228,alabama,AL00123
229,alabama,AL00124
230,alabama,AL00125
231,alabama,AL00127
232,alabama,AL00128
233,alabama,AL00130
234,alabama,AL00201
235,alabama,AL00204
236,alabama,AL00205
237,alabama,AL00207
238,alabama,AL00209
239,alabama,AL00307
240,alabama,AL00308
241,alabama,AL00313
242,alabama,AL00322
243,alabama,AL003FA
244,alabama,AL00402
245,alabama,AL00500
246,alabama,AL00501
247,alabama,AL00505
248,alabama,AL00600
249,alabama,AL00601
250,alabama,AL00603
251,alabama,AL00700
252,alabama,AL00702
253,alabama,AL00703
254,alabama,AL00804
255,alabama,AL00805
256,alabama,AL00901
257,alabama,AL01001
258,alabama,AL01002
259,alabama,AL01102
260,alabama,AL01105
261,alabama,AL01106
262,alabama,AL01107
263,alabama,AL01204
264,alabama,AL01300
265,alabama,AL01302
266,alabama,AL01400
267,alabama,AL01501
268,alabama,AL01502
269,alabama,AL01503
270,alabama,AL01504
271,alabama,AL01505
272,alabama,AL01600
273,alabama,AL01603
274,alabama,AL01604
275,alabama,AL01606
276,alabama,AL01701
277,alabama,AL01702
278,alabama,AL01802
279,alabama,AL01901
280,alabama,AL01903
281,alabama,AL01905
282,alabama,AL02005
283,alabama,AL02100
284,alabama,AL02202
285,alabama,AL02300
286,alabama,AL02301
287,alabama,AL02302
288,alabama,AL02305
289,alabama,AL02306
290,alabama,AL02403
291,alabama,AL02502
292,alabama,AL02503
293,alabama,AL02504
294,alabama,AL02605
295,alabama,AL02607
296,alabama,AL02608
297,alabama,AL02609
298,alabama,AL02700
299,alabama,AL02800
300,alabama,AL02803
301,alabama,AL02804
302,alabama,AL02805
303,alabama,AL02806
304,alabama,AL02807
305,alabama,AL02808
306,alabama,AL02810
307,alabama,AL02811
308,alabama,AL02812
309,alabama,AL02813
310,alabama,AL02814
311,alabama,AL02901
312,alabama,AL03000
313,alabama,AL03003
314,alabama,AL03102
315,alabama,AL03104
316,alabama,AL03108
317,alabama,AL03109
318,alabama,AL03300
319,alabama,AL03304
320,alabama,AL03305
321,alabama,AL03404
322,alabama,AL03405
323,alabama,AL03500
324,alabama,AL03601
325,alabama,AL03703
326,alabama,AL03803
327,alabama,AL03804
328,alabama,AL03806
329,alabama,AL03809
330,alabama,AL03902
331,alabama,AL03903
332,alabama,AL03905
333,alabama,AL03906
334,alabama,AL03907
335,alabama,AL04000
336,alabama,AL04002
337,alabama,AL04003
338,alabama,AL04004
339,alabama,AL04102
340,alabama,AL04103
341,alabama,AL04104
342,alabama,AL04105
343,alabama,AL04204
344,alabama,AL04403
345,alabama,AL04501
346,alabama,AL04502
347,alabama,AL04504
348,alabama,AL04705
349,alabama,AL04706
350,alabama,AL04707
351,alabama,AL04709
352,alabama,AL04800
353,alabama,AL04802
354,alabama,AL04803
355,alabama,AL04804
356,alabama,AL04805
357,alabama,AL04902
358,alabama,AL04903
359,alabama,AL04904
360,alabama,AL04905
361,alabama,AL04906
362,alabama,AL04907
363,alabama,AL05000
364,alabama,AL05001
365,alabama,AL05003
366,alabama,AL05102
367,alabama,AL05103
368,alabama,AL05104
369,alabama,AL05200
370,alabama,AL05201
371,alabama,AL05202
372,alabama,AL05205
373,alabama,AL05207
374,alabama,AL05211
375,alabama,AL05301
376,alabama,AL05302
377,alabama,AL05402
378,alabama,AL05403
379,alabama,AL05404
380,alabama,AL05502
381,alabama,AL05602
382,alabama,AL05702
383,alabama,AL05801
384,alabama,AL05802
385,alabama,AL05803
386,alabama,AL05805
387,alabama,AL05807
388,alabama,AL05808
389,alabama,AL05809
390,alabama,AL05812
391,alabama,AL05901
392,alabama,AL05903
393,alabama,AL05905
394,alabama,AL05907
395,alabama,AL05909
396,alabama,AL05910
397,alabama,AL06000
398,alabama,AL06001
399,alabama,AL06004
400,alabama,AL06100
401,alabama,AL06102
402,alabama,AL06104
403,alabama,AL06105
404,alabama,AL06106
405,alabama,AL06204
406,alabama,AL06206
407,alabama,AL06305
408,alabama,AL06401
409,alabama,AL06404
410,alabama,AL06406
411,alabama,AL06407
412,alabama,AL06409
413,alabama,AL06500
414,alabama,AL06601
415,alabama,AL06701
416,alabama,AL06703
417,alabama,AL06704
418,alabama,ALAST00
419,alaska,AK00101
420,alaska,AK00102
421,alaska,AK00105
422,alaska,AK00107
423,alaska,AK00108
424,alaska,AK00109
425,alaska,AK00111
426,alaska,AK00112
427,alaska,AK00113
428,alaska,AK00114
429,alaska,AK00116
430,alaska,AK00117
431,alaska,AK00118
432,alaska,AK00120
433,alaska,AK00121
434,alaska,AK00122
435,alaska,AK00123
436,alaska,AK00126
437,alaska,AK00127
438,alaska,AK00132
439,alaska,AK00133
440,alaska,AK00135
441,alaska,AK00142
442,alaska,AK00145
443,alaska,AK00156
444,alaska,AKASP00
445,alaska,AK00110
446,alaska,AK00130
447,alaska,AK00146
448,alaska,AK00149
449,alaska,AK00150
450,alaska,AK00164
451,alaska,AK00103
452,alaska,AK00104
453,alaska,AK00106
454,alaska,AK00119
455,alaska,AK00124
456,alaska,AK00128
457,alaska,AK00131
458,alaska,AK00143
459,alaska,AK00147
460,alaska,AK00152
461,alaska,AK00154
462,alaska,AK00163
463,arizona,AZ00100
464,arizona,AZ00101
465,arizona,AZ00103
466,arizona,AZ00105
467,arizona,AZ00200
468,arizona,AZ00201
469,arizona,AZ00203
470,arizona,AZ00205
471,arizona,AZ00207
472,arizona,AZ00209
473,arizona,AZ00211
474,arizona,AZ00213
475,arizona,AZ00300
476,arizona,AZ00301
477,arizona,AZ00303
478,arizona,AZ00308
479,arizona,AZ00397
480,arizona,AZ00400
481,arizona,AZ00401
482,arizona,AZ00403
483,arizona,AZ00405
484,arizona,AZ00500
485,arizona,AZ00501
486,arizona,AZ00503
487,arizona,AZ00505
488,arizona,AZ00600
489,arizona,AZ00700
490,arizona,AZ00701
491,arizona,AZ00703
492,arizona,AZ00705
493,arizona,AZ00707
494,arizona,AZ00711
495,arizona,AZ00713
496,arizona,AZ00715
497,arizona,AZ00717
498,arizona,AZ00719
499,arizona,AZ00721
500,arizona,AZ00723
501,arizona,AZ00725
502,arizona,AZ00729
503,arizona,AZ00731
504,arizona,AZ00733
505,arizona,AZ00735
506,arizona,AZ00744
507,arizona,AZ00757
508,arizona,AZ00797
509,arizona,AZ00800
510,arizona,AZ00801
511,arizona,AZ00804
512,arizona,AZ00805
513,arizona,AZ00806
514,arizona,AZ00900
515,arizona,AZ00901
516,arizona,AZ00903
517,arizona,AZ00905
518,arizona,AZ00909
519,arizona,AZ00913
520,arizona,AZ01000
521,arizona,AZ01001
522,arizona,AZ01003
523,arizona,AZ01004
524,arizona,AZ01007
525,arizona,AZ01009
526,arizona,AZ01097
527,arizona,AZ01098
528,arizona,AZ01100
529,arizona,AZ01101
530,arizona,AZ01103
531,arizona,AZ01105
532,arizona,AZ01107
533,arizona,AZ01109
534,arizona,AZ01111
535,arizona,AZ01113
536,arizona,AZ01197
537,arizona,AZ01200
538,arizona,AZ01201
539,arizona,AZ01301
540,arizona,AZ01303
541,arizona,AZ01305
542,arizona,AZ01307
543,arizona,AZ01308
544,arizona,AZ01311
545,arizona,AZ01313
546,arizona,AZ01314
547,arizona,AZ01400
548,arizona,AZ01403
549,arizona,AZ01405
550,arizona,AZ01409
551,arizona,AZ01500
552,arizona,AZ01501
553,arizona,AZ01503
554,arizona,AZCCHPX
555,arizona,AZ00406
556,arizona,AZ00727
557,arizona,AZ01312
558,arizona,AZ01497
559,arizona,AZ00307
560,arizona,AZ00310
561,arizona,AZ00407
562,arizona,AZ00489
563,arizona,AZ00597
564,arizona,AZ00601
565,arizona,AZ00603
566,arizona,AZ00709
567,arizona,AZ00739
568,arizona,AZ00907
569,arizona,AZ01006
570,arizona,AZ01112
571,arizona,AZ01203
572,arizona,AZ01300
573,arizona,AZ01408
574,arkansas,AR00100
575,arkansas,AR00101
576,arkansas,AR00102
577,arkansas,AR00200
578,arkansas,AR00201
579,arkansas,AR00202
580,arkansas,AR00300
581,arkansas,AR00301
582,arkansas,AR00400
583,arkansas,AR00401
584,arkansas,AR00402
585,arkansas,AR00403
586,arkansas,AR00406
587,arkansas,AR00500
588,arkansas,AR00501
589,arkansas,AR00600
590,arkansas,AR00601
591,arkansas,AR00700
592,arkansas,AR00800
593,arkansas,AR00801
594,arkansas,AR00802
595,arkansas,AR00803
596,arkansas,AR00900
597,arkansas,AR00901
598,arkansas,AR00902
599,arkansas,AR00903
600,arkansas,AR01000
601,arkansas,AR01001
602,arkansas,AR01002
603,arkansas,AR01004
604,arkansas,AR01100
605,arkansas,AR01101
606,arkansas,AR01102
607,arkansas,AR01200
608,arkansas,AR01201
609,arkansas,AR01300
610,arkansas,AR01401
611,arkansas,AR01405
612,arkansas,AR01500
613,arkansas,AR01501
614,arkansas,AR01600
615,arkansas,AR01601
616,arkansas,AR01605
617,arkansas,AR01700
618,arkansas,AR01701
619,arkansas,AR01702
620,arkansas,AR01703
621,arkansas,AR01800
622,arkansas,AR01801
623,arkansas,AR01802
624,arkansas,AR01804
625,arkansas,AR01900
626,arkansas,AR01901
627,arkansas,AR02000
628,arkansas,AR02001
629,arkansas,AR02100
630,arkansas,AR02101
631,arkansas,AR02103
632,arkansas,AR02200
633,arkansas,AR02201
634,arkansas,AR02300
635,arkansas,AR02301
636,arkansas,AR02303
637,arkansas,AR02306
638,arkansas,AR02400
639,arkansas,AR02401
640,arkansas,AR02500
641,arkansas,AR02600
642,arkansas,AR02601
643,arkansas,AR02700
644,arkansas,AR02701
645,arkansas,AR02800
646,arkansas,AR02801
647,arkansas,AR02900
648,arkansas,AR02901
649,arkansas,AR03000
650,arkansas,AR03001
651,arkansas,AR03100
652,arkansas,AR03101
653,arkansas,AR03200
654,arkansas,AR03300
655,arkansas,AR03302
656,arkansas,AR03400
657,arkansas,AR03401
658,arkansas,AR03402
659,arkansas,AR03500
660,arkansas,AR03501
661,arkansas,AR03600
662,arkansas,AR03601
663,arkansas,AR03700
664,arkansas,AR03800
665,arkansas,AR03801
666,arkansas,AR03802
667,arkansas,AR03900
668,arkansas,AR03901
669,arkansas,AR04000
670,arkansas,AR04002
671,arkansas,AR04100
672,arkansas,AR04101
673,arkansas,AR04200
674,arkansas,AR04201
675,arkansas,AR04202
676,arkansas,AR04300
677,arkansas,AR04301
678,arkansas,AR04302
679,arkansas,AR04303
680,arkansas,AR04304
681,arkansas,AR04400
682,arkansas,AR04500
683,arkansas,AR04502
684,arkansas,AR04503
685,arkansas,AR04600
686,arkansas,AR04601
687,arkansas,AR04700
688,arkansas,AR04701
689,arkansas,AR04702
690,arkansas,AR04800
691,arkansas,AR04801
692,arkansas,AR04900
693,arkansas,AR05000
694,arkansas,AR05001
695,arkansas,AR05100
696,arkansas,AR05200
697,arkansas,AR05201
698,arkansas,AR05300
699,arkansas,AR05401
700,arkansas,AR05402
701,arkansas,AR05500
702,arkansas,AR05600
703,arkansas,AR05601
704,arkansas,AR05602
705,arkansas,AR05603
706,arkansas,AR05700
707,arkansas,AR05701
708,arkansas,AR05800
709,arkansas,AR05801
710,arkansas,AR05802
711,arkansas,AR05900
712,arkansas,AR05901
713,arkansas,AR05902
714,arkansas,AR06000
715,arkansas,AR06001
716,arkansas,AR06002
717,arkansas,AR06003
718,arkansas,AR06004
719,arkansas,AR06005
720,arkansas,AR06016
721,arkansas,AR06100
722,arkansas,AR06101
723,arkansas,AR06200
724,arkansas,AR06201
725,arkansas,AR06300
726,arkansas,AR06301
727,arkansas,AR06302
728,arkansas,AR06400
729,arkansas,AR06401
730,arkansas,AR06500
731,arkansas,AR06600
732,arkansas,AR06601
733,arkansas,AR06602
734,arkansas,AR06603
735,arkansas,AR06700
736,arkansas,AR06701
737,arkansas,AR06800
738,arkansas,AR06804
739,arkansas,AR06900
740,arkansas,AR06901
741,arkansas,AR07000
742,arkansas,AR07001
743,arkansas,AR07002
744,arkansas,AR07100
745,arkansas,AR07200
746,arkansas,AR07201
747,arkansas,AR07202
748,arkansas,AR07203
749,arkansas,AR07204
750,arkansas,AR07205
751,arkansas,AR07206
752,arkansas,AR07207
753,arkansas,AR07208
754,arkansas,AR07300
755,arkansas,AR07301
756,arkansas,AR07302
757,arkansas,AR07303
758,arkansas,AR07400
759,arkansas,AR07500
760,arkansas,AR07501
761,arkansas,AR00414
762,arkansas,AR01400
763,arkansas,AR02203
764,arkansas,AR02302
765,arkansas,AR03504
766,arkansas,AR04306
767,arkansas,AR05400
768,arkansas,AR06009
769,arkansas,AR07502
770,arkansas,AR00103
771,arkansas,AR00203
772,arkansas,AR00302
773,arkansas,AR00303
774,arkansas,AR00404
775,arkansas,AR00405
