,state,year,population
0,ALABAMA,2000,4483775
1,ALABAMA,2001,4502059
2,ALABAMA,2002,4516995
3,ALABAMA,2003,4531274
4,ALABAMA,2004,4550680
5,ALABAMA,2005,4575157
6,ALABAMA,2006,4616525
7,ALABAMA,2007,4646319
8,ALABAMA,2008,4684189
9,ALABAMA,2009,4732747
10,ALABAMA,2010,4792630
11,ALABAMA,2011,4815348
12,ALABAMA,2012,4834334
13,ALABAMA,2013,4845981
14,ALASKA,2000,626932
15,ALASKA,2001,634892
16,ALASKA,2002,643893
17,ALASKA,2003,648921
18,ALASKA,2004,655932
19,ALASKA,2005,664150
20,ALASKA,2006,670527
21,ALASKA,2007,683918
22,ALASKA,2008,686732
23,ALASKA,2009,698901
24,ALASKA,2010,711456
25,ALASKA,2011,725910
26,ALASKA,2012,735190
27,ALASKA,2013,739005
28,ARIZONA,2000,5142271
29,ARIZONA,2001,5323460
30,ARIZONA,2002,5468832
31,ARIZONA,2003,5602641
32,ARIZONA,2004,5765872
33,ARIZONA,2005,5961525
34,ARIZONA,2006,6188773
35,ARIZONA,2007,6361125
36,ARIZONA,2008,6513235
37,ARIZONA,2009,6609085
38,ARIZONA,2010,6404623
39,ARIZONA,2011,6501532
40,ARIZONA,2012,6572455
41,ARIZONA,2013,6646289
42,ARKANSAS,2000,2733155
43,ARKANSAS,2001,2752264
44,ARKANSAS,2002,2765587
45,ARKANSAS,2003,2773659
46,ARKANSAS,2004,2781633
47,ARKANSAS,2005,2808844
48,ARKANSAS,2006,2852717
49,ARKANSAS,2007,2864508
50,ARKANSAS,2008,2881714
51,ARKANSAS,2009,2914733
52,ARKANSAS,2010,2941161
53,ARKANSAS,2011,2963414
54,ARKANSAS,2012,2981157
55,ARKANSAS,2013,2983862
56,CALIFORNIA,2000,33963063
57,CALIFORNIA,2001,34594209
58,CALIFORNIA,2002,35208800
59,CALIFORNIA,2003,35576513
60,CALIFORNIA,2004,35986336
61,CALIFORNIA,2005,36225484
62,CALIFORNIA,2006,36552731
63,CALIFORNIA,2007,36651369
64,CALIFORNIA,2008,36854589
65,CALIFORNIA,2009,37039830
66,CALIFORNIA,2010,37321740
67,CALIFORNIA,2011,37794681
68,CALIFORNIA,2012,38158594
69,CALIFORNIA,2013,38439277
70,COLORADO,2000,4332093
71,COLORADO,2001,4449380
72,COLORADO,2002,4539943
73,COLORADO,2003,4584627
74,COLORADO,2004,4638693
75,COLORADO,2005,4702789
76,COLORADO,2006,4790446
77,COLORADO,2007,4900222
78,COLORADO,2008,4978873
79,COLORADO,2009,5062934
80,COLORADO,2010,5067746
81,COLORADO,2011,5155993
82,COLORADO,2012,5227884
83,COLORADO,2013,5306876
84,CONNECTICUT,2000,3485100
85,CONNECTICUT,2001,3505041
86,CONNECTICUT,2002,3541286
87,CONNECTICUT,2003,3565135
88,CONNECTICUT,2004,3586296
89,CONNECTICUT,2005,3593240
90,CONNECTICUT,2006,3587033
91,CONNECTICUT,2007,3584852
92,CONNECTICUT,2008,3592331
93,CONNECTICUT,2009,3609641
94,CONNECTICUT,2010,3665941
95,CONNECTICUT,2011,3672721
96,CONNECTICUT,2012,3682267
97,CONNECTICUT,2013,3687931
98,DELAWARE,2000,805723
99,DELAWARE,2001,818643
100,DELAWARE,2002,832091
101,DELAWARE,2003,841448
102,DELAWARE,2004,854779
103,DELAWARE,2005,870075
104,DELAWARE,2006,881748
105,DELAWARE,2007,884060
106,DELAWARE,2008,892606
107,DELAWARE,2009,904124
108,DELAWARE,2010,914390
109,DELAWARE,2011,923759
110,DELAWARE,2012,933909
111,DELAWARE,2013,941932
112,DISTRICT OF COLUMBIA,2000,572059
113,DISTRICT OF COLUMBIA,2001,571822
114,DISTRICT OF COLUMBIA,2002,570898
115,DISTRICT OF COLUMBIA,2003,563384
116,DISTRICT OF COLUMBIA,2004,553523
117,DISTRICT OF COLUMBIA,2005,550521
118,DISTRICT OF COLUMBIA,2006,581530
119,DISTRICT OF COLUMBIA,2007,588292
120,DISTRICT OF COLUMBIA,2008,591833
121,DISTRICT OF COLUMBIA,2009,599657
122,DISTRICT OF COLUMBIA,2010,601723
123,DISTRICT OF COLUMBIA,2011,617996
124,DISTRICT OF COLUMBIA,2012,632323
