,state,ori
0,ALABAMA,AL00112
1,ALASKA,AK00101
2,ALASKA,AK00102
3,ALASKA,AK00103
4,ALASKA,AK00105
5,ALASKA,AK00108
6,ALASKA,AK00109
7,ALASKA,AK00112
8,ALASKA,AK00114
9,ALASKA,AK00116
10,ALASKA,AK00118
11,ALASKA,AK00120
12,ALASKA,AK00122
13,ALASKA,AK00123
14,ALASKA,AK00126
15,ALASKA,AK00127
16,ALASKA,AK00132
17,ALASKA,AK00133
18,ALASKA,AK00142
19,ALASKA,AK00143
20,ALASKA,AK00156
21,ARIZONA,AZ00101
22,ARIZONA,AZ00200
23,ARIZONA,AZ00213
24,ARIZONA,AZ00300
25,ARIZONA,AZ00307
26,ARIZONA,AZ00397
27,ARIZONA,AZ00405
28,ARIZONA,AZ00406
29,ARIZONA,AZ00501
30,ARIZONA,AZ00505
31,ARIZONA,AZ00700
32,ARIZONA,AZ00701
33,ARIZONA,AZ00705
34,ARIZONA,AZ00707
35,ARIZONA,AZ00711
36,ARIZONA,AZ00713
37,ARIZONA,AZ00715
38,ARIZONA,AZ00717
39,ARIZONA,AZ00719
40,ARIZONA,AZ00721
41,ARIZONA,AZ00723
42,ARIZONA,AZ00725
43,ARIZONA,AZ00729
44,ARIZONA,AZ00731
45,ARIZONA,AZ00797
46,ARIZONA,AZ00800
47,ARIZONA,AZ00801
48,ARIZONA,AZ00805
49,ARIZONA,AZ00900
50,ARIZONA,AZ00903
51,ARIZONA,AZ00905
52,ARIZONA,AZ00909
53,ARIZONA,AZ01000
54,ARIZONA,AZ01001
55,ARIZONA,AZ01003
56,ARIZONA,AZ01004
57,ARIZONA,AZ01007
58,ARIZONA,AZ01009
59,ARIZONA,AZ01097
60,ARIZONA,AZ01101
61,ARIZONA,AZ01103
62,ARIZONA,AZ01105
63,ARIZONA,AZ01113
64,ARIZONA,AZ01201
65,ARIZONA,AZ01300
66,ARIZONA,AZ01303
67,ARIZONA,AZ01307
68,ARIZONA,AZ01311
69,ARIZONA,AZ01313
70,ARIZONA,AZ01400
71,ARIZONA,AZ01403
72,ARIZONA,AZ01405
73,ARIZONA,AZCCHPX
74,ARKANSAS,AR00102
75,ARKANSAS,AR00201
76,ARKANSAS,AR00202
77,ARKANSAS,AR00300
